scenario	year	period	mean.effects.Inds	mean.effects.abovemass	mean.effects.NPFT	mean.effects.eveness	mean.effects.shannon	mean.effects.simpson	mean.effects.simpsoninv	min.effects.Inds	min.effects.abovemass	min.effects.NPFT	min.effects.eveness	min.effects.shannon	min.effects.simpson	min.effects.simpsoninv	max.effects.Inds	max.effects.abovemass	max.effects.NPFT	max.effects.eveness	max.effects.shannon	max.effects.simpson	max.effects.simpsoninv
1	14	before	1.03511065734235	1.01665508258464	1.00000700243903	1.00464154812446	1.00266926830644	1.00116000662017	1.01242131849704	1.15886262429575	1.09342143124418	1.00473933649289	1.02858228091855	1.03515266636666	1.00643097408388	1.09307504571604	0.855752411810923	0.888407728644958	0.982986767485822	0.967806256787335	0.932129960702604	0.986861855320839	0.822523570180386
0	15	before	1	1	1	1	1	1	1	1.13571228897407	1.0877942841893	1.00283822138127	1.02570724201755	1.03663442632487	1.00598329704616	1.09078504842151	0.814884285499919	0.828628519033006	0.984825191364927	0.948799023921233	0.9207459571733	0.982315274323921	0.779073858231124
1	15	before	1.00849454848813	0.989545033986312	0.999810202746557	1.00054443486968	1.00573325593224	1.00125589498836	1.01571797895517	1.11959280476011	1.07214942791286	1.00283822138127	1.02549637127055	1.03994649624039	1.00701971092963	1.11504541368987	0.846280210818187	0.656921252335828	0.981132075471698	0.964589079806048	0.956666578698679	0.989460819098509	0.861228343630539
0	16	before	1	1	1	1	1	1	1	1.13892094192341	1.08218005009699	1.00473933649289	1.03004869427859	1.03613620333401	1.00626708821316	1.10020881452732	0.776666411819413	0.791378910969994	0.985781990521327	0.959963060205235	0.936510772339331	0.986552974135636	0.826013150160301
1	16	before	0.980654784777266	0.994141650689425	0.999461103321117	1.00067245962691	1.00034794095397	0.999453591584589	0.992530344535296	1.09523360213875	1.07345339839638	1.00298080501464	1.02702571102429	1.04061814656314	1.00712346436497	1.11175215237981	0.775928610454368	0.787335370588879	0.98391674550615	0.953558425493129	0.959040383289692	0.98479804980616	0.809246916340437
0	17	before	1	1	1	1	1	1	1	1.12496088216235	1.07633797841575	1.00569259962049	1.02823651690732	1.03347936164369	1.00562048142088	1.08664638934429	0.846027714961226	0.792734455374754	0.985781990521327	0.965255104455109	0.94043897798413	0.98818455669474	0.84100388717261
1	17	before	1.01179523753376	1.00555042147678	1.00046841625758	0.994951460759947	0.999111372461671	0.999155916358679	0.98799626160473	1.11366755018979	1.07728952563807	1.00856327307326	1.02160988375709	1.03971355013397	1.00691347892393	1.11152986502249	0.880589343841014	0.816135154146592	0.982940400185469	0.957841270007255	0.934138917774854	0.984176257698988	0.807645246596061
0	18	before	1	1	1	1	1	1	1	1.11941458911387	1.09566450356555	1.00664767331434	1.02438029186323	1.03194718363444	1.00659441113677	1.09677851025086	0.775750715082631	0.675613105775745	0.982986767485822	0.936902092320627	0.93463236670246	0.9709748834339	0.694222063676017
1	18	before	1.02100782584711	1.01770864376671	1.0007078360833	1.0026442977265	1.00314495928603	1.00087892920819	1.00459091587603	1.15074242711069	1.10747935422766	1.00664767331434	1.02119908222529	1.03592136866769	1.0064747674428	1.09502496045683	0.848992883849958	0.906719439401689	0.987607512725996	0.971638364955385	0.966200690193659	0.992748592142109	0.895239848509603
0	19	before	1	1	1	1	1	1	1	1.1219946571683	1.07112671892962	1.00283822138127	1.02729737895789	1.029268283111	1.00548139336294	1.08581105495391	0.81734053101245	0.866764173977509	0.985781990521327	0.94552870703601	0.960158417658965	0.988702965351934	0.850860321043148
