PFT	scenario	year	period	mean.effects.Inds	mean.effects.seedlings	mean.effects.seeds	mean.effects.cover	mean.effects.shootmass	min.effects.Inds	min.effects.seedlings	min.effects.seeds	min.effects.cover	min.effects.shootmass	max.effects.Inds	max.effects.seedlings	max.effects.seeds	max.effects.cover	max.effects.shootmass
MECIcl3plb	1	31	during	0.556213389936459	0.710638073809848	0.440889406255502	0.997895600913287	0.37526770101818	1.02564102564103	1	1.10196326789107	0.999776989929003	0.94309649276901	0.0847457627118644	0.0233175165900189	0.0162810625535561	0.993718058144144	0.000289157793588685
MECIcl3plb	0	32	during	1	1	1	1	1	3.56654507556018	2.71065607592325	4.33155080213904	1.01316449216545	3.81500642801148	0.087719298245614	0.0193050193050193	0.00865176640230714	0.992491951015977	0.00021476835938461
MECIcl3plb	1	32	during	0.529121671281957	0.662249813840465	0.449833434284651	0.99760424548842	0.422042180079838	0.99303995418704	1	0.941176470588235	1.00091353325594	1.02484237163716	0.087719298245614	0.01585414189457	0.0108501898783229	0.991801494591252	0.00021476835938461
MECIcl3plb	0	33	during	1	1	1	1	1	3	2.62462526766595	3.05601407408713	1.01127810197926	3.42020645994299	0.091743119266055	0.0265406894115315	0.0108813928182807	0.993675326165848	0.000208131995979806
MECIcl3plb	1	33	during	0.630152052148761	0.780515543226098	0.445029775929709	0.998030658128027	0.514763780935228	1.32426470588236	1.0868205947758	1.55804031733089	1.00173108047889	1.47946714959537	0.091743119266055	0.0187881634570221	0.0145085237577077	0.993670209666516	0.000208131995979806
MECIcl3plb	0	34	during	1	1	1	1	1	3.40750112460639	2.56410256410256	3.15892420537897	1.00921748037883	3.9190997869704	0.118343195266272	0.0338409475465313	0.0152497370062083	0.995195851497081	0.000247052225345772
MECIcl3plb	1	34	during	0.787999929700013	0.905136583909662	0.696869740960986	0.999080488017222	0.720636887331121	2.78579059829061	1.41602444857826	1.68215158924205	1.00747815947996	4.04490494173535	0.118343195266272	0.027226982665691	0.021505376344086	0.995216008844197	0.000247052225345772
MECIcl3plb	0	35	during	1	1	1	1	1	3.01515151515151	2.7027431127855	3.7947332883187	1.00670047966065	3.92376372677687	0.126582278481013	0.037037037037037	0.0178997613365155	0.995888535002156	0.000411800938309028
MECIcl3plb	1	35	during	1.06181930355498	1.02072160815204	0.956859081616387	1.00034003718741	1.1425224952291	4.44846153846154	1.9047619047619	6.46860229574612	1.01441486931267	6.17132363583171	0.126582278481013	0.0364963503649635	0.0178997613365155	0.995888535002156	0.000411800938309028
MECIcl3plb	0	36	after	1	1	1	1	1	2.9058651026393	2.49376558603491	3.4539887676274	1.00612155009208	3.72548265758966	0.166666666666667	0.0591715976331361	0.0176702215841482	0.996741051202902	0.000386202968468015
MECIcl3plb	1	36	after	1.15806231535063	1.18241887240431	1.11889341267548	1.00081478371192	1.33471166596036	4	3.051775147929	4.23326133909287	1.01225695978378	7.08101618749672	0.166666666666667	0.050761421319797	0.0230414746543779	0.9967371258541	0.000386202968468015
MECIcl3plb	0	37	after	1	1	1	1	1	2.77359904105484	2.67427536231884	4.10488245931284	1.00638038092707	3.57529316201807	0.152671755725191	0.0409276944065484	0.015420200462606	0.995714431231176	0.000401232964826935
MECIcl3plb	1	37	after	1.24150249610368	1.13351937202559	1.26922705266077	1.00079398415089	1.32567441012054	4.72815533980583	2.26026392961877	5.85895117540687	1.01102246383525	6.47405967036513	0.128205128205128	0.0344827586206897	0.0143806435409366	0.995573195484264	0.000401232964826935
MECIcl3plb	0	38	after	1	1	1	1	1	2.87760953608247	2.44897959183673	3.57681530670312	1.00687394749925	3.54307227849435	0.117647058823529	0.0345721694036301	0.0130519904285404	0.994963234369382	0.000338079530437283
MECIcl3plb	1	38	after	1.105329752484	1.04808981634584	1.09010287516564	1.00058763086811	1.14483269681132	3.2625	2.35365853658537	6.01532567049808	1.01331303291265	4.77112679775365	0.104166666666667	0.0309597523219814	0.0153686064061086	0.994996420262309	0.000337832854459611
MECIcl3plb	0	39	after	1	1	1	1	1	2.71490984743412	2.34375054544185	3.43090461632078	1.0072628282498	3.34118790405516	0.126582278481013	0.0328137817883511	0.0100050025012506	0.995507005538659	0.000280946033511889
MECIcl3plb	1	39	after	1.42682812499844	1.21123156085205	1.32848421643934	1.00149483998486	1.5426208877154	4.10369532428356	2.98627828810756	4.18212478920742	1.0125657635802	5.71073321758768	0.130718954248366	0.0365346302589945	0.0185571793087451	0.995580182570768	0.000275303627897524
MECIcl3plb	0	40	after	1	1	1	1	1	3.00326086956522	2.57929499343161	3.21678321678322	1.00744980448082	3.73650563027659	0.113636363636364	0.0340136054421769	0.0128364546075996	0.995569037768455	0.000303022070930709
MECIcl3plb	1	40	after	1.54423508675081	1.45413711021072	1.69353085908608	1.00254149939987	1.81032778015251	4.51612903225806	4.19384057971014	6.18181818181818	1.01939805755268	6.64852401428888	0.134228187919463	0.0340136054421769	0.0223776223776224	0.995672794778888	0.000308949776058527
MECIcl4plb	0	1	before	1	1	1	1	1	1.16666666666667	1.48148148148148	1.37254901960784	1.00341841972845	1.19835187581917	0.762737134337566	0.571031746031746	0.392156862745098	0.995327600387169	0.750313618627685
MECIcl4plb	1	1	before	0.934316958967916	0.93740673150791	0.981193010282534	0.998348850113468	0.910291251473831	1.12059823929572	1.36877846454132	1.56862745098039	1.00140099973108	1.10292285222729	0.689655172413793	0.56577568134172	0.392156862745098	0.99396802073088	0.655896930357129
MECIcl4plb	0	2	before	1	1	1	1	1	1.36836039934619	1.6	1.35194484852525	1.00653361626569	1.42077939567852	0.557193810911283	0.401994921925231	0.431889175607769	0.990647221546934	0.403415645630105
MECIcl4plb	1	2	before	0.901861394204627	0.920454746545397	0.91385648929961	0.997885437207897	0.869686830663683	1.38429065045941	1.57215053763441	1.36221648784463	1.00586299173167	1.40654425267255	0.393945191066048	0.341294359610171	0.520088817050177	0.987323036195755	0.277718566120837
MECIcl4plb	0	3	before	1	1	1	1	1	1.65077583857968	1.73913043478261	1.49022643700406	1.01079579115027	1.71404057584524	0.218433903034531	0.305497260589365	0.250103921994123	0.984025596343623	0.151014194007826
MECIcl4plb	1	3	before	0.830864059610966	0.883758636542621	0.883812224810383	0.996773769336329	0.806085936522476	1.31073929651441	1.54952476416779	1.44377782078576	1.00500809066493	1.35256257396379	0.320165929585738	0.198019801980198	0.139345848654925	0.982424221962241	0.25272380638219
MECIcl4plb	0	4	before	1	1	1	1	1	1.88357553317853	1.7644753075987	1.90828823696952	1.01353908290922	1.97498556431354	0.23438374420899	0.170940170940171	0.131016804329251	0.983670700948179	0.182752992548672
MECIcl4plb	1	4	before	0.744182969678096	0.831655379844888	0.69856034514381	0.995633829681864	0.728618030329247	1.27935567819805	1.48148148148148	1.30731985189405	1.00385426857907	1.28684555902134	0.204438986098099	0.206145620953464	0.128168612930789	0.98327407618982	0.186096058250949
MECIcl4plb	0	5	before	1	1	1	1	1	1.85249784668389	1.9047619047619	2.08212360016591	1.01303200025023	1.93645753550419	0.129164005959983	0.189128423865563	0.12463935372187	0.98510344220837	0.000143746626446361
MECIcl4plb	1	5	before	0.968641003843328	0.978810418992897	0.824346386789527	0.999223438800716	0.982572038756598	1.80619736557979	1.75438596491228	1.51251209733167	1.01131042453346	1.97128357691295	0.193704082196321	0.159399867664203	0.0967786533941656	0.985599610291334	0.0948924887759555
MECIcl4plb	0	6	before	1	1	1	1	1	2.06025592055004	1.89316848993931	2.29250280943972	1.01309368836138	2.2570328903261	0.0530194747185993	0.0157150981442724	0.00728279076542131	0.985430465913461	9.01655489068983e-05
MECIcl4plb	1	6	before	1.21225369399419	1.16566209031269	1.11895344139897	1.00265663352578	1.23749874632963	2.29843506304687	1.97536322033145	1.95215925509713	1.01434848011239	2.5085995704511	0.068947863951983	0.0555555555555556	0.00582623261233705	0.987206766729069	0.000138701355736984
MECIcl4plb	0	7	before	1	1	1	1	1	2.33258109556126	2.15572033898306	2.60279441117764	1.01350075573959	2.44370702501652	0.060790273556231	0.027183060203686	0.00471650507475779	0.986852087147091	0.000106693826647178
MECIcl4plb	1	7	before	1.16083947172274	1.16865715646208	1.15343921979934	1.00234658979027	1.19583497361165	2.15535117056856	2.16136463244993	2.10778443113772	1.01444856734949	2.46019456090299	0.0760456273764259	0.0169491525423729	0.00619674670797831	0.987822633593655	0.000136612771518409
MECIcl4plb	0	8	before	1	1	1	1	1	2.28125	1.88053753647701	2.49577702702703	1.01366193818651	2.50469470865238	0.0595611285266458	0.0196078431372549	0.00667662303434947	0.988872722007081	0.000106433228794616
MECIcl4plb	1	8	before	1.20925328848384	1.17891026455739	1.09562075557455	1.00201742140736	1.25980488689682	2.86038961038961	2.6260162601626	2.66891891891892	1.01722893361979	3.40906090298942	0.0627264840992883	0.047397330267612	0.00667662303434947	0.988864354270113	0.000117382246825122
MECIcl4plb	0	9	before	1	1	1	1	1	2.19918699186992	1.9047619047619	3.07070102525373	1.00981414890896	2.29814160637826	0.0727272727272727	0.0253324889170361	0.00723719920390809	0.988571204965377	0.000126479453290608
MECIcl4plb	1	9	before	1.38638186556666	1.16267443978884	1.28042566447875	1.00286927937105	1.44402853557315	3.58800200803212	2.35180490334476	3.77195092614867	1.01829020604521	4.00821050366898	0.0641891891891892	0.0200803212851406	0.0069262250418778	0.988372703897924	0.0001399424845371
MECIcl4plb	0	10	before	1	1	1	1	1	2.49607849911896	2.26016248953666	2.66153423150949	1.01403474334846	2.63551816643794	0.0632371364653244	0.0132717609131306	0.00705538294396629	0.987557794733603	0.000125319580595466
MECIcl4plb	1	10	before	1.27713752692881	1.14695063384725	1.32210654907615	1.00234892775124	1.33248662586282	3.30400501027749	2.64626029076896	3.93106893106893	1.01818756033374	3.72785927600268	0.0647042402059618	0.0200400801603206	0.00699790062981106	0.989233789250962	0.000123705415099396
MECIcl4plb	0	11	before	1	1	1	1	1	2.84804708400214	2.48511011011011	2.77045511066899	1.01396887174753	3.25017504302076	0.0606060606060606	0.0164473684210526	0.0073295870999267	0.989632682432662	0.000143460333315922
MECIcl4plb	1	11	before	1.27639679825498	1.1628665932019	1.36284479461353	1.0023684620648	1.34997092414983	2.99269442923913	2.91834947612086	3.72263853493835	1.01703968878669	3.33031283597497	0.0736434108527132	0.0164473684210526	0.0073295870999267	0.990677943709804	0.000147827022816697
MECIcl4plb	0	12	before	1	1	1	1	1	2.83005841741901	2.57700770077007	3.62626592616792	1.01473533074911	3.1667132850949	0.0595238095238095	0.0157977883096367	0.00671422576584138	0.988951530961286	0.000151856038410345
MECIcl4plb	1	12	before	1.18980586273827	1.1244342806999	1.29035334642989	1.00153653906818	1.22533219035956	2.73291925465839	2.83990320517267	3.2015681149951	1.01445858681964	3.12514224035487	0.0694444444444445	0.0206043956043956	0.00652457590256633	0.990055443848	0.000154031662827167
MECIcl4plb	0	13	before	1	1	1	1	1	3.16382528621205	2.37189028117359	3.36846890774847	1.01541197185941	3.65403142393233	0.0647249190938512	0.0155038759689922	0.00722717417489762	0.990078985160936	0.000135449922585629
MECIcl4plb	1	13	before	1.08557816893564	1.14609144758728	1.11501507935669	1.00083277213724	1.09371778280312	2.85913621262459	2.77210316236681	2.89086966995905	1.01410417694772	3.05906737223362	0.0709219858156028	0.0177304964539007	0.00963623223319682	0.991032531771071	0.000139456957086558
MECIcl4plb	0	14	before	1	1	1	1	1	3.21428571428571	2.69888888888889	4.26733135205864	1.01504875470169	3.42731065689918	0.0813008130081301	0.0205023065094823	0.00790097445351594	0.991491926635677	0.000161133321549116
MECIcl4plb	1	14	before	1.08783569827869	1.10174275668395	1.08314410101121	1.00090860624686	1.14967470189427	3.16949903945619	2.18591979935212	2.9788597053171	1.01503736709258	3.83834913471945	0.0846762989719366	0.0200400801603206	0.0105346326046879	0.992189846515189	0.000162108865148622
MECIcl4plb	0	15	before	1	1	1	1	1	2.94428522297375	2.17479039634146	3.50611951043916	1.01175839487689	3.1902211856114	0.0821917808219178	0.0193693102398301	0.00995937622854147	0.991327696575945	0.0001906052524117
MECIcl4plb	1	15	before	1.03632219266368	0.988184100563048	1.11863420054276	1.00008508603092	1.03327757906156	2.77083333333333	2.08210205406058	4.36954982251726	1.01157810208968	3.73253859859312	0.0821917808219178	0.0243397680092454	0.0080128932709321	0.991327696575945	0.000190711198589879
MECIcl4plb	0	16	before	1	1	1	1	1	3.03092998955068	2.05283687943263	3.31369661266568	1.00951400175729	3.56313670715801	0.100427881984178	0.0269905533063428	0.0102214925980533	0.993774036778598	0.000190227672651779
MECIcl4plb	1	16	before	1.14316428415157	1.07790693073929	1.15359323797728	1.00077451566431	1.2504626900377	2.85714285714286	2.22188829787235	3.379970544919	1.01190275429995	3.68152881711595	0.101010101010101	0.0282087447108604	0.0145877988291115	0.993893185279004	0.000209296299064821
MECIcl4plb	0	17	before	1	1	1	1	1	3.07692307692308	2.21062948734098	3.62754607177498	1.00908654351449	3.76868606994322	0.0843881856540084	0.0234741784037559	0.0101712154602475	0.993347147976154	0.000245955089975785
MECIcl4plb	1	17	before	1.24343750179843	1.13644643701365	1.24790332924697	1.00122244481652	1.30888110450243	3.33333333333333	2.53968253968254	3.57904946653734	1.0117410316934	4.29044451628786	0.0999019607843137	0.0348432055749129	0.0101712154602475	0.993812170042086	0.000249293679334513
MECIcl4plb	0	18	before	1	1	1	1	1	3.66377245508982	2.57328826237055	4.7672901261418	1.01468988011179	4.51394290944451	0.103092783505155	0.0164948453608247	0.0104962484576328	0.992878270390736	0.000224477276041884
MECIcl4plb	1	18	before	1.16815634604005	1.07362738685256	1.14311648416245	1.00088675185669	1.24173817984965	3.20987654320988	2.32851890756303	3.87663680220538	1.01021195754302	4.23168695528132	0.11038961038961	0.0238095238095238	0.0115528372409106	0.993555309772367	0.000225012603518455
MECIcl4plb	0	19	before	1	1	1	1	1	3.29541284403669	2.75657519126099	4.06207211319032	1.01327541476936	3.87574177042935	0.0892857142857143	0.0201106083459025	0.0120511558721677	0.992903986544007	0.000249314003171
MECIcl4plb	1	19	before	1.31860724050747	1.08298301240578	1.21853729947847	1.00134722671265	1.3912664789944	3.3617572822157	2.42844450188198	3.59653126426289	1.01192335388892	3.88778863372269	0.0980392156862745	0.0239554710068344	0.00908677873693776	0.993308056402409	0.000249314003171
MECIcl4plb	0	20	before	1	1	1	1	1	3.23591549295775	2.62394801980198	3.38563170933113	1.01097507116611	3.79078914967157	0.0896860986547085	0.0124146492861577	0.0106666666666667	0.993257391808728	0.000209688081943074
MECIcl4plb	1	20	before	1.0781650753402	1.08307268550241	1.04505760802827	1.00068566717933	1.10757330617695	2.65592637921296	2.38726790450928	2.766308835673	1.01005420603821	3.09218339097492	0.0896860986547085	0.0247524752475248	0.00938631127750857	0.993438455231487	0.000225685947329346
MECIcl4plb	0	21	before	1	1	1	1	1	3.04945276497696	2.31681211301419	3.87219837863615	1.00983255990055	3.71729738476664	0.125	0.0287769784172662	0.0134348410210479	0.994088716490613	0.000268140452757487
