Herbicide scenario	year	mean.10	min.10	max.10	mean.10_20	min.10_20	max.10_20	mean.20_30	min.20_30	max.20_30	mean.30_40	min.30_40	max.30_40	mean.40_50	min.40_50	max.40_50	mean.50	min.50	max.50
0	40	30	0	5	0	0	8	0	0	4	0	0	4	0	0	7	0	0	2
1	40	28	2	2	1	1	13	1	0	4	0	0	4	0	0	1	0	0	6
2	40	21	4	7	3	1	0	1	2	10	1	0	4	1	1	1	3	3	8
0	41	30	0	4	0	0	7	0	0	3	0	0	4	0	0	7	0	0	5
1	41	28	2	3	1	1	12	0	0	5	1	0	1	0	0	5	0	0	4
2	41	21	3	3	3	2	8	1	1	3	1	1	4	0	0	2	4	3	10
0	42	30	0	3	0	0	5	0	0	5	0	0	4	0	0	5	0	0	8
1	42	28	2	4	1	1	8	1	0	3	0	0	5	0	0	3	0	0	7
2	42	22	4	0	2	1	4	1	2	3	1	0	7	1	1	2	3	3	14
0	43	30	0	8	0	0	5	0	0	7	0	0	3	0	0	4	0	0	3
1	43	28	2	4	1	1	9	1	0	4	0	0	4	0	0	2	0	0	7
2	43	21	3	0	3	1	4	1	2	6	1	0	7	1	1	2	3	3	11
0	44	30	0	8	0	0	9	0	0	2	0	0	5	0	0	2	0	0	4
1	44	28	3	9	1	0	5	1	1	5	0	0	3	0	0	6	0	0	2
2	44	21	3	0	3	1	2	1	2	12	1	1	5	1	0	2	3	3	9
0	45	30	0	8	0	0	7	0	0	5	0	0	4	0	0	4	0	0	2
1	45	27	2	6	2	2	4	1	0	3	0	0	3	0	0	6	0	0	8
2	45	21	5	1	3	1	5	1	2	4	1	1	5	0	0	2	4	3	13
0	46	30	0	6	0	0	11	0	0	3	0	0	4	0	0	3	0	0	3
1	46	30	0	3	0	0	7	0	0	4	0	0	5	0	0	4	0	0	7
2	46	29	1	7	1	0	8	0	0	2	0	0	5	0	0	2	0	0	6
0	47	30	0	8	0	0	5	0	0	4	0	0	3	0	0	7	0	0	3
1	47	30	0	12	0	0	5	0	0	3	0	0	3	0	0	5	0	0	2
2	47	30	1	10	0	0	7	0	0	5	0	0	3	0	0	3	0	0	2
0	48	30	0	7	0	0	8	0	0	1	0	0	3	0	0	3	0	0	8
1	48	30	0	7	0	0	10	0	0	3	0	0	5	0	0	1	0	0	4
2	48	29	1	9	1	0	11	0	0	3	0	0	3	0	0	0	0	0	4
0	49	30	0	9	0	0	4	0	0	6	0	0	4	0	0	3	0	0	4
1	49	30	0	5	0	0	6	0	0	6	0	0	6	0	0	1	0	0	6
2	49	29	1	7	1	0	11	0	0	2	0	0	3	0	0	4	0	0	3
0	50	30	0	15	0	0	6	0	0	2	0	0	3	0	0	1	0	0	3
1	50	30	0	0	0	0	5	0	0	7	0	0	7	0	0	3	0	0	8
2	50	29	1	3	1	0	12	0	0	3	0	0	2	0	0	4	0	0	6
