Time	scenario	period	year	week	mean.effects.Inds	mean.effects.abovemass	mean.effects.NPFT	mean.effects.eveness	mean.effects.shannon	mean.effects.simpson	mean.effects.simpsoninv	min.effects.Inds	min.effects.abovemass	min.effects.NPFT	min.effects.eveness	min.effects.shannon	min.effects.simpson	min.effects.simpsoninv	max.effects.Inds	max.effects.abovemass	max.effects.NPFT	max.effects.eveness	max.effects.shannon	max.effects.simpson	max.effects.simpsoninv
237	0	before	8	27	1	1	1	1	1	1	0.999999999999997	1.0727194755866	1.02028060460865	1.00378787878788	1.0194769839796	1.03270840642192	1.00457003962199	1.06322336113593	0.766096918458617	0.966260755790911	0.965909090909091	0.979652556780071	0.950019774951576	0.988354169726465	0.861798729472369
237	1	before	8	27	1.00084747493312	1.00220776540762	1	1.00277814848696	1.0007200212426	1.00053109418699	1.00669396207281	1.06628683452797	1.02357569698796	1.00378787878788	1.0286659557431	1.02844430358289	1.00491398029832	1.06866910393006	0.793971696379342	0.968839436489703	0.965909090909091	0.963850685990122	0.952855057474429	0.989603168345027	0.874241589131892
237	2	before	8	27	0.988390614470379	0.948693150709672	1.00252525252525	1.00277962399043	1.00281970539791	1.00015346005219	1.00515305341077	1.08650370642651	1.01003210474193	1.00378787878788	1.02443184251577	1.04690108985411	1.00807680056859	1.12182141687374	0.871469705323776	0.593331351104936	0.984848484848485	0.951507052070867	0.925005103112072	0.97820286962066	0.773920811076574
238	0	before	8	28	1	1	1	1.00000000000001	0.999999999999996	1	1.00000000000001	1.07741186533879	1.01704342323816	1.00442198357549	1.01745189954348	1.03332092664941	1.00521202520867	1.07641356883332	0.820064764465082	0.957985921063039	0.96651926721415	0.973749411271893	0.95324395978879	0.989381443146621	0.869002968628812
238	1	before	8	28	1.01553125190933	0.991988040813099	1.00063171193936	1.00245961550999	1.00062661502819	1.00045070062722	1.00591094637456	1.07594550009165	1.05303298267816	1.00442198357549	1.02659055726725	1.03411463658387	1.00425794984787	1.0607707267142	0.82299749495937	0.443697223760184	0.96651926721415	0.962312178473998	0.952832852931752	0.989368378349027	0.86886841302786
238	2	before	8	28	1.00982464715586	0.97377464209444	1.00252684775742	1.00131314076574	1.00309853319865	1.00014901899522	1.00483068221003	1.14303171014847	1.02948477418334	1.00442198357549	1.02532912202813	1.04271280280007	1.00837365707462	1.13212613231013	0.88568460927476	0.751617812228111	0.98547062539482	0.951493840072002	0.935239497548456	0.980639864581878	0.788464377097626
239	0	before	8	29	1	1	0.999999999999997	0.999999999999993	1.00000000000001	1	0.999999999999999	1.07803909590715	1.02713954200228	1.00569259962049	1.01677533121076	1.03313107106934	1.00530996004171	1.08145465333283	0.852168601099572	0.944407876752842	0.967741935483871	0.969440716972119	0.957126930026149	0.990706845947492	0.878745905122759
239	1	before	8	29	1.00942272449603	0.991333508569967	0.999999999999998	1.00345947903705	0.999690095851173	1.00022858972907	1.00256904688072	1.0867440439829	1.04548873260362	1.00569259962049	1.02745022687988	1.03017843372434	1.00408101362004	1.06040044942934	0.854917532070861	0.569234480515529	0.967741935483871	0.972355308442026	0.954859738317784	0.990801137183322	0.879784995537695
239	2	before	8	29	1.01420281001833	0.983026365494403	1.00316255534472	1.0020083448531	1.00163538445602	0.999845463539312	0.999545692566178	1.11331704337202	1.01661113559825	1.00569259962049	1.02114366739971	1.04115222584983	1.00628687367064	1.09886345966032	0.874618204031765	0.874649076285696	0.986717267552182	0.951246300716084	0.934863168596587	0.982012212642071	0.793566456201852
240	0	before	8	30	1	1	1	1	0.999999999999996	1.00000000000001	1	1.06262427196424	1.04333505861441	1.05548037889039	1.01858688203191	1.03012684564673	1.0048372030066	1.07675852415739	0.850944027027503	0.925341206666955	0.893098782138024	0.973558441353456	0.957133678127138	0.991232229398911	0.880767353069666
240	1	before	8	30	1.01657546057609	1.00228569239288	0.991204330175913	1.00309873373927	0.999876650352874	1.00020063291015	1.00208960895292	1.11435660115078	1.05444079296554	1.0148849797023	1.02406848337681	1.02708307012539	1.00393040720233	1.06068520380382	0.871531382520104	0.758396469591738	0.893098782138024	0.969640069059812	0.953874466404954	0.991843066283392	0.887865271723662
