Application rate	PFT	year	mean.10	min.10	max.10	mean.10_20	min.10_20	max.10_20	mean.20_30	min.20_30	max.20_30	mean.30_40	min.30_40	max.30_40	mean.40_50	min.40_50	max.40_50	mean.50	min.50	max.50
0	MECIcl3p	9	30	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30
90	MECIcl3p	9	18	30	0	10	0	0	2	0	0	0	0	0	0	0	0	0	0	30
260	MECIcl3p	9	2	30	0	6	0	0	22	0	0	0	0	0	0	0	0	0	0	30
0	MECIcl3p	10	30	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30
90	MECIcl3p	10	0	30	0	10	0	0	16	0	0	3	0	0	1	0	0	0	0	30
260	MECIcl3p	10	9	29	0	2	0	0	7	1	0	7	0	0	1	0	0	4	0	30
0	MECIcl3p	11	30	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30
90	MECIcl3p	11	0	30	0	0	0	0	6	0	0	20	0	0	4	0	0	0	0	30
260	MECIcl3p	11	8	30	0	6	0	0	11	0	0	2	0	0	1	0	0	2	0	30
0	MECIcl3p	12	30	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30
90	MECIcl3p	12	1	30	0	5	0	0	9	0	0	12	0	0	3	0	0	0	0	30
260	MECIcl3p	12	21	30	0	2	0	0	2	0	0	1	0	0	1	0	0	3	0	30
0	MECIcl3p	13	30	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30
90	MECIcl3p	13	17	30	0	11	0	0	1	0	0	1	0	0	0	0	0	0	0	30
260	MECIcl3p	13	27	30	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0	30
0	MECIcl3p	14	30	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30
90	MECIcl3p	14	6	30	0	7	0	0	5	0	0	11	0	0	1	0	0	0	0	30
260	MECIcl3p	14	28	30	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	30
0	MECIcl3p	15	30	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30
90	MECIcl3p	15	0	30	0	0	0	0	1	0	0	6	0	0	22	0	0	1	0	30
260	MECIcl3p	15	28	30	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	30
0	MECIcl3p	16	30	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30
90	MECIcl3p	16	0	30	0	0	0	0	0	0	0	1	0	0	16	0	0	13	0	30
260	MECIcl3p	16	27	30	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0	30
0	MECIcl3p	17	30	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30
90	MECIcl3p	17	0	30	0	0	0	0	0	0	0	1	0	0	13	0	0	16	0	30
260	MECIcl3p	17	27	30	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	30
0	MECIcl3p	18	30	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30
90	MECIcl3p	18	0	30	0	0	0	0	0	0	0	0	0	0	21	0	0	9	0	30
260	MECIcl3p	18	27	30	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	30
0	MECIcl3p	19	30	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30
90	MECIcl3p	19	1	30	0	6	0	0	11	0	0	2	0	0	6	0	0	4	0	30
260	MECIcl3p	19	27	30	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	30
0	MECIcl3p	20	30	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30
90	MECIcl3p	20	25	30	0	3	0	0	1	0	0	1	0	0	0	0	0	0	0	30
260	MECIcl3p	20	28	30	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	30
0	MECIcl3p	21	30	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30
90	MECIcl3p	21	30	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30
260	MECIcl3p	21	30	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30
0	MECIcl3p	22	30	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30
90	MECIcl3p	22	4	30	0	11	0	0	10	0	0	4	0	0	1	0	0	0	0	30
260	MECIcl3p	22	30	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30
