PFT	scenario	year	period	mean.effects.Inds	mean.effects.seedlings	mean.effects.seeds	mean.effects.cover	mean.effects.shootmass	min.effects.Inds	min.effects.seedlings	min.effects.seeds	min.effects.cover	min.effects.shootmass	max.effects.Inds	max.effects.seedlings	max.effects.seeds	max.effects.cover	max.effects.shootmass
MSCTcl2plb	1	7	before	1.20667117332891	1.11346400378254	1.21701048958381	1.00285358470942	1.23400720335294	2.4830247627864	2.42903371075657	2.81664444600379	1.02335817123624	2.73930890013239	0.0612603305785124	0.0150050016672224	0.00842046172198442	0.982431872670366	0.000109332965119344
MSCTcl2plb	2	7	before	1.12448950072161	1.12041680348777	1.08026988250416	1.00207251145562	1.15218974071245	2.84629271437782	2.5531914893617	2.96185169309901	1.02785884999248	3.09168877177276	0.0671140939597315	0.0258843830888697	0.0102654465396047	0.983400508847519	0.000139242058966199
MSCTcl2plb	0	8	before	1	1	1	1	1	2.51908396946565	2.42785527462947	2.83108708004373	1.01840715429124	2.85209789635598	0.0737100737100737	0.0189274447949527	0.0108670598226263	0.985854460016572	0.000141305735678801
MSCTcl2plb	1	8	before	1.2718067834095	1.27971517241888	1.29220491951748	1.00374166538429	1.34845937039298	3.17647058823529	3.09085051546392	2.83416528008874	1.02374921887792	3.75127625167409	0.077319587628866	0.0271493212669683	0.010887371815631	0.986118905625855	0.000184740961519606
MSCTcl2plb	2	8	before	1.31029141442952	1.27065347678608	1.27756467308493	1.00397395260036	1.39749675758131	3.5954347826087	2.86564397143967	3.4165280088741	1.02731986294115	3.83435033720854	0.0766719870218222	0.0275482093663912	0.00979192166462668	0.986193348121112	0.000153868039404825
MSCTcl2plb	0	9	before	1	1	1	1	1	2.60931776556777	2.63457788690691	3.17672838777252	1.01613784120164	2.9430164367987	0.0867052023121387	0.0227272727272727	0.0146842878120411	0.989028482611467	0.000187386633429108
MSCTcl2plb	1	9	before	1.47483340792774	1.44397792577694	1.52935871346666	1.00502905787753	1.64228974463904	4.1807753164557	3.90454686050109	5.13618677042802	1.03000143749985	4.95993003447545	0.0903614457831325	0.0251292724102361	0.0111028867505551	0.989160176355331	0.000196287950156889
MSCTcl2plb	2	9	before	1.50607496808881	1.41580904985458	1.577304169987	1.00518116219412	1.67781738879384	3.62090909090909	3.57385927332983	3.99349917042293	1.02706217176122	4.18406835207408	0.0903614457831325	0.0247491740223205	0.0146842878120411	0.989128886854296	0.000187386633429108
MSCTcl2plb	0	10	before	1	1	1	1	1	2.69576490924806	2.62700228832952	3.1310003096934	1.0157558750425	3.09042663075945	0.0831024930747923	0.0221274780441774	0.0136423059405578	0.988937775567493	0.000203118003261848
MSCTcl2plb	1	10	before	1.35930856730857	1.3560919105304	1.60279555844488	1.00326153050568	1.44687686475466	3.25842696629214	3.30655760951434	5.04490554351192	1.02219793888958	3.9255335270736	0.0903614457831325	0.0327877256352221	0.0139834475762394	0.989473498588664	0.00021209966815098
MSCTcl2plb	2	10	before	1.53401026231961	1.4254186168034	1.74644638568873	1.00473706954209	1.6770329834576	3.64494543270033	3.40910121636393	4.83064217438527	1.02363158781868	4.29009472953198	0.0903614457831325	0.0228745711017918	0.0148809523809524	0.989387135052429	0.000221350689135896
MSCTcl2plb	0	11	before	1	1	1	1	1	3.14285714285714	2.85714285714286	3.04450197485218	1.01936263294473	3.5262654823272	0.0952380952380952	0.0243903581186129	0.014740203906154	0.989875742571321	0.000207289100096521
MSCTcl2plb	1	11	before	1.35333843667187	1.27252397772396	1.5021496564765	1.00315075892863	1.43650133707791	3.76177536231885	3.21142311886587	4.14787798408488	1.02257776860372	4.59029550358781	0.0952380952380952	0.0234009360374415	0.0155319699715247	0.989875742571321	0.000211832467200862
MSCTcl2plb	2	11	before	1.35496026071067	1.29672712841759	1.7024567412099	1.00304853277859	1.39840510478706	3.63468899521531	3.39531626719615	5.18236074270557	1.02329889604547	4.13261395121566	0.1	0.0234009360374415	0.0143164249348479	0.990069130470481	0.000220586463026137
